dataset	leaf_size	metric	eps	min_samples	nmi
square2	90	manhattan	0.5	3	0.4462690081927394
flame	90	manhattan	0.5	3	0.027041143297085783
disk-3000n	90	manhattan	0.5	3	0.2564132711965923
d31	90	manhattan	0.5	3	0.8313964297753175
aggregation	90	manhattan	0.5	3	0.12100239011448831
2sp2glob	90	manhattan	0.5	3	0.8122963785424661
glass	90	manhattan	0.5	3	0.2297603706584728
square1	90	manhattan	0.5	3	0.4471598416844079
disk-4500n	90	manhattan	0.5	3	0.013811599845135155
sizes1	90	manhattan	0.5	3	0.44573291854746255
long3	90	manhattan	0.5	3	0.037978309594801564
st900	90	manhattan	0.5	3	0.017823067623012747
tetra	90	manhattan	0.5	3	0.7593046449247288
spherical_4_3	90	manhattan	0.5	4	0.06433839221748688
fourty	90	manhattan	0.5	4	0.762622433970957
lsun	90	manhattan	0.5	4	1.0
ds850	90	manhattan	0.5	4	0.5189951027560084
pathbased	90	manhattan	0.5	4	0.054718740284788056
R15	90	manhattan	0.5	4	0.9350595657584271
spherical_6_2	90	manhattan	0.5	4	0.4784412129071112
shapes	90	manhattan	0.5	4	1.0
2dnormals	90	manhattan	0.5	4	0.02590928624570537
simplex	90	manhattan	0.5	4	1.0
2d-20c-no0	90	manhattan	0.5	4	0.8818291580259734
disk-5000n	90	manhattan	0.5	4	0.03868195482438198
DS-577	90	manhattan	0.5	4	0.004449613816270854
zoo	90	manhattan	0.5	4	0.2834248482215105
square3	90	manhattan	0.5	4	0.379658797369915
disk-4600n	90	manhattan	0.5	4	0.7086908176807278
sizes5	90	manhattan	0.5	4	0.3894349908051549
blobs	90	manhattan	0.5	4	0.014898007937667313
dense-disk-5000	90	manhattan	0.5	4	0.3407835325135249
dense-disk-3000	90	manhattan	0.5	4	0.5703160306321479
2d-10c	90	manhattan	0.5	4	0.6644315132294546
impossible	90	manhattan	0.5	4	0.9244124895939134
aml28	90	manhattan	0.5	4	0.45323425091033964
compound	90	manhattan	0.5	4	0.08624518650307313
sizes3	90	manhattan	0.5	4	0.39489689065190314
spiral	90	manhattan	0.5	4	1.0
sizes2	90	manhattan	0.5	4	0.42512314806539436
iris	90	manhattan	0.5	4	0.4775080461714955
hypercube	90	manhattan	0.5	4	1.0
engytime	90	manhattan	0.5	4	0.007502353865134306
longsquare	90	manhattan	0.5	4	0.4773156128013347
square5	90	manhattan	0.5	4	0.3491589478426294
3-spiral	90	manhattan	0.5	4	0.18009026559307742
DS-850	90	manhattan	0.5	4	0.5189951027560084
rings	90	manhattan	0.5	4	0.4392687033667225
2d-4c-no4	90	manhattan	0.5	4	0.6078461726090142
disk-1000n	90	manhattan	0.5	4	0.25621025640117706
ecoli	90	manhattan	0.5	4	0.20254026758528454
target	90	manhattan	0.5	4	0.9861144062953922
3MC	90	manhattan	0.5	4	0.6729782084368683
xclara	90	manhattan	0.5	4	0.054756634610892405
spherical_5_2	90	manhattan	0.5	4	0.40047325455086974
ds577	90	manhattan	0.5	4	0.004449613816270854
elliptical_10_2	90	manhattan	0.5	4	0.36299550044701806
triangle2	90	manhattan	0.5	4	0.3183455950357531
disk-4000n	90	manhattan	0.5	4	0.8947923215524961
jain	90	manhattan	0.5	4	0.04181187689364125
2d-4c	90	manhattan	0.5	4	0.6568348247342838
sizes4	90	manhattan	0.5	4	0.4020888544196774
square4	90	manhattan	0.5	4	0.37546459989329756
chainlink	90	manhattan	0.5	4	1.0
spiralsquare	90	manhattan	0.5	4	0.7789947884755888
gaussians1	90	manhattan	0.5	4	1.0
pmf	90	manhattan	0.5	4	0.23483495622663977
2d-4c-no9	90	manhattan	0.5	4	0.5750054802489715
hepta	90	manhattan	0.5	4	0.4997047953500705
triangle1	90	manhattan	0.5	4	0.7061633576825113
tae	90	manhattan	0.5	4	0.04796284802914385
twenty	90	manhattan	0.5	4	0.9099939801860876
threenorm	90	manhattan	0.5	4	0.01674357443580583
square2	90	manhattan	0.5	4	0.3908074731548469
disk-3000n	90	manhattan	0.5	4	0.2994982631859379
d31	90	manhattan	0.5	4	0.8374308253913082
aggregation	90	manhattan	0.5	4	0.06581987987214954
2sp2glob	90	manhattan	0.5	4	0.8237076266683481
glass	90	manhattan	0.5	4	0.15612990534609938
square1	90	manhattan	0.5	4	0.3899692708978577
disk-4500n	90	manhattan	0.5	4	0.02185819915986148
sizes1	90	manhattan	0.5	4	0.3988167328933884
long3	90	manhattan	0.5	4	0.037978309594801564
st900	90	manhattan	0.5	4	0.017823067623012747
tetra	90	manhattan	0.5	4	0.6814646524454457
fourty	90	cosine	0.2	2	0.02171480372490245
shapes	90	cosine	0.2	2	0.7071067811865475
twodiamonds	90	cosine	0.2	2	0.010628362324883714
simplex	90	cosine	0.2	2	1.0
zoo	90	cosine	0.2	2	0.2351736039206158
zelnik2	90	cosine	0.2	2	0.033399045599201226
iono	90	cosine	0.2	2	0.5417964566863962
2d-4c-no4	90	cosine	0.2	2	0.4769148982172715
pmf	90	cosine	0.2	2	0.5371568873885676
fourty	90	cosine	0.2	3	0.02171480372490245
shapes	90	cosine	0.2	3	0.7071067811865475
twodiamonds	90	cosine	0.2	3	0.010628362324883714
simplex	90	cosine	0.2	3	1.0
zoo	90	cosine	0.2	3	0.20518614704239085
zelnik2	90	cosine	0.2	3	0.033399045599201226
iono	90	cosine	0.2	3	0.5786108337467033
2d-4c-no4	90	cosine	0.2	3	0.4769148982172715
pmf	90	cosine	0.2	3	0.5371568873885676
fourty	90	cosine	0.2	4	0.02171480372490245
shapes	90	cosine	0.2	4	0.7071067811865475
twodiamonds	90	cosine	0.2	4	0.010628362324883714
simplex	90	cosine	0.2	4	1.0
zoo	90	cosine	0.2	4	0.20518614704239085
zelnik2	90	cosine	0.2	4	0.033399045599201226
iono	90	cosine	0.2	4	0.5786108337467033
2d-4c-no4	90	cosine	0.2	4	0.4769148982172715
pmf	90	cosine	0.2	4	0.5371568873885676
twodiamonds	90	cosine	0.3	2	0.010628362324883714
simplex	90	cosine	0.3	2	1.0
zoo	90	cosine	0.3	2	0.1763993369827574
zelnik2	90	cosine	0.3	2	0.033399045599201226
iono	90	cosine	0.3	2	0.4488248123118919
twodiamonds	90	cosine	0.3	3	0.010628362324883714
simplex	90	cosine	0.3	3	1.0
zoo	90	cosine	0.3	3	0.19037171751035684
zelnik2	90	cosine	0.3	3	0.033399045599201226
iono	90	cosine	0.3	3	0.4688468935669994
twodiamonds	90	cosine	0.3	4	0.010628362324883714
simplex	90	cosine	0.3	4	1.0
zoo	90	cosine	0.3	4	0.19037171751035684
zelnik2	90	cosine	0.3	4	0.033399045599201226
iono	90	cosine	0.3	4	0.47414110121775815
twodiamonds	90	cosine	0.5	2	0.010628362324883714
iono	90	cosine	0.5	2	0.2644958873603493
twodiamonds	90	cosine	0.5	3	0.010628362324883714
iono	90	cosine	0.5	3	0.2715008973627811
twodiamonds	90	cosine	0.5	4	0.010628362324883714
iono	90	cosine	0.5	4	0.27352114468014743
spherical_4_3	100	euclidean	0.2	2	0.08186204499529876
fourty	100	euclidean	0.2	2	0.5701255897059135
lsun	100	euclidean	0.2	2	0.7570871166004569
ds850	100	euclidean	0.2	2	0.8597467658996667
elly-2d10c13s	100	euclidean	0.2	2	0.016029940313682826
pathbased	100	euclidean	0.2	2	0.10302189247955203
R15	100	euclidean	0.2	2	0.8020979540619926
spherical_6_2	100	euclidean	0.2	2	0.3564750719223294
shapes	100	euclidean	0.2	2	0.9595666790087141
2dnormals	100	euclidean	0.2	2	0.09048731499259824
simplex	100	euclidean	0.2	2	1.0
2d-20c-no0	100	euclidean	0.2	2	0.6884824363960966
disk-5000n	100	euclidean	0.2	2	0.24368650144862428
DS-577	100	euclidean	0.2	2	0.7448000418322052
zoo	100	euclidean	0.2	2	0.4708389621216752
square3	100	euclidean	0.2	2	0.2953436446227233
sonar	100	euclidean	0.2	2	0.044741061906836056
disk-4600n	100	euclidean	0.2	2	0.17136903127634145
sizes5	100	euclidean	0.2	2	0.1862400205948381
cure-t1-2000n-2D	100	euclidean	0.2	2	0.9072505493289745
blobs	100	euclidean	0.2	2	0.59006569501128
dense-disk-5000	100	euclidean	0.2	2	0.3192310562308332
dense-disk-3000	100	euclidean	0.2	2	0.25674166037294793
2d-10c	100	euclidean	0.2	2	0.5265252170053679
impossible	100	euclidean	0.2	2	0.7689486273011977
aml28	100	euclidean	0.2	2	0.2553317168152184
zelnik2	100	euclidean	0.2	2	0.07761153151601675
sizes3	100	euclidean	0.2	2	0.22611624916448134
spiral	100	euclidean	0.2	2	1.0
sizes2	100	euclidean	0.2	2	0.25231051632705853
iris	100	euclidean	0.2	2	0.333513347701368
hypercube	100	euclidean	0.2	2	0.997066282760711
engytime	100	euclidean	0.2	2	0.04452361408925027
longsquare	100	euclidean	0.2	2	0.3453213169827007
iono	100	euclidean	0.2	2	0.06653613730160769
square5	100	euclidean	0.2	2	0.2874236076225535
3-spiral	100	euclidean	0.2	2	0.14233659357174677
DS-850	100	euclidean	0.2	2	0.8597467658996667
rings	100	euclidean	0.2	2	0.3659987452625164
cure-t2-4k	100	euclidean	0.2	2	0.8733152380050729
2d-4c-no4	100	euclidean	0.2	2	0.4429805438259319
disk-1000n	100	euclidean	0.2	2	0.19093867364907233
complex9	100	euclidean	0.2	2	0.01427637289187116
ecoli	100	euclidean	0.2	2	0.1797137275550516
target	100	euclidean	0.2	2	0.7901440729227428
3MC	100	euclidean	0.2	2	0.46865840234187767
xor	100	euclidean	0.2	2	0.12579469728465675
xclara	100	euclidean	0.2	2	0.11264768955383943
cure-t0-2000n-2D	100	euclidean	0.2	2	1.0
spherical_5_2	100	euclidean	0.2	2	0.33218711842104215
ds577	100	euclidean	0.2	2	0.7448000418322052
elliptical_10_2	100	euclidean	0.2	2	0.3271168413311067
wingnut	100	euclidean	0.2	2	0.9346630688233653
triangle2	100	euclidean	0.2	2	0.24845608946046666
disk-4000n	100	euclidean	0.2	2	0.23249265025004673
jain	100	euclidean	0.2	2	0.03393007859929618
2d-4c	100	euclidean	0.2	2	0.518019700937665
long1	100	euclidean	0.2	2	0.9562811690095492
sizes4	100	euclidean	0.2	2	0.2117341616014161
square4	100	euclidean	0.2	2	0.29384294028595453
chainlink	100	euclidean	0.2	2	1.0
spiralsquare	100	euclidean	0.2	2	0.7477046615076323
gaussians1	100	euclidean	0.2	2	1.0
complex8	100	euclidean	0.2	2	0.012375536417509499
haberman	100	euclidean	0.2	2	0.07262504490899578
pmf	100	euclidean	0.2	2	0.173862104786904
atom	100	euclidean	0.2	2	0.02742439180230068
long2	100	euclidean	0.2	2	0.9516877336358938
2d-4c-no9	100	euclidean	0.2	2	0.416403825483662
cassini	100	euclidean	0.2	2	1.0
hepta	100	euclidean	0.2	2	0.4592575282879041
triangle1	100	euclidean	0.2	2	0.44662212648886307
tae	100	euclidean	0.2	2	0.3282537649344205
twenty	100	euclidean	0.2	2	0.6390639442215315
threenorm	100	euclidean	0.2	2	0.20870596416918566
square2	100	euclidean	0.2	2	0.29724122258013025
disk-3000n	100	euclidean	0.2	2	0.27649262882101794
d31	100	euclidean	0.2	2	0.6133424726876262
aggregation	100	euclidean	0.2	2	0.05799110282073622
zelnik4	100	euclidean	0.2	2	1.0
2sp2glob	100	euclidean	0.2	2	0.622316013493032
glass	100	euclidean	0.2	2	0.19527101061788732
square1	100	euclidean	0.2	2	0.2972161869496809
2d-3c-no123	100	euclidean	0.2	2	0.08366242106180641
disk-4500n	100	euclidean	0.2	2	0.28372816796202416
sizes1	100	euclidean	0.2	2	0.281149884063866
long3	100	euclidean	0.2	2	0.9568997010278084
cuboids	100	euclidean	0.2	2	1.0
st900	100	euclidean	0.2	2	0.6680795597813044
tetra	100	euclidean	0.2	2	0.3317164272241739
fourty	100	euclidean	0.2	3	0.4712984253426397
lsun	100	euclidean	0.2	3	0.7507636122827548
ds850	100	euclidean	0.2	3	0.8648319891085123
elly-2d10c13s	100	euclidean	0.2	3	0.016029940313682826
R15	100	euclidean	0.2	3	0.7792468750385382
spherical_6_2	100	euclidean	0.2	3	0.22691167262971318
shapes	100	euclidean	0.2	3	0.9595666790087141
2dnormals	100	euclidean	0.2	3	0.07596035690208296
simplex	100	euclidean	0.2	3	1.0
2d-20c-no0	100	euclidean	0.2	3	0.6585437810497852
disk-5000n	100	euclidean	0.2	3	0.2199518922855054
DS-577	100	euclidean	0.2	3	0.7480334711644061
zoo	100	euclidean	0.2	3	0.3938108141757237
square3	100	euclidean	0.2	3	0.1951761409518069
disk-4600n	100	euclidean	0.2	3	0.13474767092558354
sizes5	100	euclidean	0.2	3	0.13018646774935347
cure-t1-2000n-2D	100	euclidean	0.2	3	0.9072505493289745
blobs	100	euclidean	0.2	3	0.5821169044625427
dense-disk-5000	100	euclidean	0.2	3	0.31588407000380203
dense-disk-3000	100	euclidean	0.2	3	0.22088016671890143
2d-10c	100	euclidean	0.2	3	0.511975157146657
impossible	100	euclidean	0.2	3	0.7931987012708442
aml28	100	euclidean	0.2	3	0.18678092750574674
zelnik2	100	euclidean	0.2	3	0.07761153151601675
sizes3	100	euclidean	0.2	3	0.14522821936535593
spiral	100	euclidean	0.2	3	1.0
sizes2	100	euclidean	0.2	3	0.17559661620461872
iris	100	euclidean	0.2	3	0.2801956687648174
hypercube	100	euclidean	0.2	3	0.997066282760711
engytime	100	euclidean	0.2	3	0.036602548992681734
longsquare	100	euclidean	0.2	3	0.2538760868840848
iono	100	euclidean	0.2	3	0.04431000749470407
square5	100	euclidean	0.2	3	0.19174993007210187
3-spiral	100	euclidean	0.2	3	0.1146286595455091
DS-850	100	euclidean	0.2	3	0.8648319891085123
rings	100	euclidean	0.2	3	0.3694770975410114
cure-t2-4k	100	euclidean	0.2	3	0.8733152380050729
2d-4c-no4	100	euclidean	0.2	3	0.4414262554367939
disk-1000n	100	euclidean	0.2	3	0.11909770252282316
ecoli	100	euclidean	0.2	3	0.17937373964936046
target	100	euclidean	0.2	3	0.7901440729227428
3MC	100	euclidean	0.2	3	0.45726888841387603
xor	100	euclidean	0.2	3	0.10662351622987386
xclara	100	euclidean	0.2	3	0.03316577864106643
cure-t0-2000n-2D	100	euclidean	0.2	3	1.0
spherical_5_2	100	euclidean	0.2	3	0.1785247945045405
ds577	100	euclidean	0.2	3	0.7480334711644061
elliptical_10_2	100	euclidean	0.2	3	0.17306246026436545
wingnut	100	euclidean	0.2	3	0.9379778216587304
triangle2	100	euclidean	0.2	3	0.14842821802417297
disk-4000n	100	euclidean	0.2	3	0.20049380997390337
2d-4c	100	euclidean	0.2	3	0.5326306737075617
long1	100	euclidean	0.2	3	0.9557898242242178
sizes4	100	euclidean	0.2	3	0.1335938820038691
square4	100	euclidean	0.2	3	0.19065166044167606
chainlink	100	euclidean	0.2	3	1.0
spiralsquare	100	euclidean	0.2	3	0.7926325392919136
gaussians1	100	euclidean	0.2	3	1.0
haberman	100	euclidean	0.2	3	0.016991169000338913
pmf	100	euclidean	0.2	3	0.10131630863561406
long2	100	euclidean	0.2	3	0.9514430615293765
2d-4c-no9	100	euclidean	0.2	3	0.4053660031931157
cassini	100	euclidean	0.2	3	1.0
hepta	100	euclidean	0.2	3	0.45101567964748324
triangle1	100	euclidean	0.2	3	0.41493397237297075
tae	100	euclidean	0.2	3	0.04796284802914385
twenty	100	euclidean	0.2	3	0.5889563025578317
threenorm	100	euclidean	0.2	3	0.20411191452670607
square2	100	euclidean	0.2	3	0.19423763154420096
disk-3000n	100	euclidean	0.2	3	0.2526204022235174
d31	100	euclidean	0.2	3	0.5581747312008605
zelnik4	100	euclidean	0.2	3	1.0
2sp2glob	100	euclidean	0.2	3	0.6647480594027466
glass	100	euclidean	0.2	3	0.137169568375294
square1	100	euclidean	0.2	3	0.19423763154420096
2d-3c-no123	100	euclidean	0.2	3	0.07435510229748883
disk-4500n	100	euclidean	0.2	3	0.27232423142901613
sizes1	100	euclidean	0.2	3	0.19237244496429964
long3	100	euclidean	0.2	3	0.9579023604154682
cuboids	100	euclidean	0.2	3	1.0
st900	100	euclidean	0.2	3	0.6502834763928605
tetra	100	euclidean	0.2	3	0.22112490218707326
fourty	100	euclidean	0.2	4	0.34865358520391404
lsun	100	euclidean	0.2	4	0.6650042774088575
ds850	100	euclidean	0.2	4	0.8551207991922744
elly-2d10c13s	100	euclidean	0.2	4	0.028727854296552165
R15	100	euclidean	0.2	4	0.7467754788702543
spherical_6_2	100	euclidean	0.2	4	0.09637706692703478
shapes	100	euclidean	0.2	4	0.9595666790087141
2dnormals	100	euclidean	0.2	4	0.05159499157567093
simplex	100	euclidean	0.2	4	1.0
2d-20c-no0	100	euclidean	0.2	4	0.6226041780174574
disk-5000n	100	euclidean	0.2	4	0.17601662513173771
DS-577	100	euclidean	0.2	4	0.7264949245427009
zoo	100	euclidean	0.2	4	0.2834248482215105
square3	100	euclidean	0.2	4	0.12898365478497142
disk-4600n	100	euclidean	0.2	4	0.09010656035546669
sizes5	100	euclidean	0.2	4	0.08445352222295972
cure-t1-2000n-2D	100	euclidean	0.2	4	0.9072505493289745
blobs	100	euclidean	0.2	4	0.5279442573112326
dense-disk-5000	100	euclidean	0.2	4	0.28479925726438854
dense-disk-3000	100	euclidean	0.2	4	0.15754433463672327
2d-10c	100	euclidean	0.2	4	0.4994282410572221
impossible	100	euclidean	0.2	4	0.7445073761609365
aml28	100	euclidean	0.2	4	0.1526889503652147
zelnik2	100	euclidean	0.2	4	0.09398423001582387
sizes3	100	euclidean	0.2	4	0.1008121101076658
spiral	100	euclidean	0.2	4	0.6094565808523038
sizes2	100	euclidean	0.2	4	0.10941685378834008
iris	100	euclidean	0.2	4	0.2221009447628821
hypercube	100	euclidean	0.2	4	0.997066282760711
engytime	100	euclidean	0.2	4	0.030810233904679095
longsquare	100	euclidean	0.2	4	0.15298915006370561
iono	100	euclidean	0.2	4	0.03860146146321316
square5	100	euclidean	0.2	4	0.12411790029477943
DS-850	100	euclidean	0.2	4	0.8551207991922744
rings	100	euclidean	0.2	4	0.36934541781777347
cure-t2-4k	100	euclidean	0.2	4	0.8733152380050729
2d-4c-no4	100	euclidean	0.2	4	0.43495920121342296
disk-1000n	100	euclidean	0.2	4	0.07010329873199848
ecoli	100	euclidean	0.2	4	0.18021735807281097
target	100	euclidean	0.2	4	0.7472515301283689
3MC	100	euclidean	0.2	4	0.42046618413937425
xor	100	euclidean	0.2	4	0.18590894688969675
cure-t0-2000n-2D	100	euclidean	0.2	4	1.0
spherical_5_2	100	euclidean	0.2	4	0.08313298839631533
ds577	100	euclidean	0.2	4	0.7264949245427009
elliptical_10_2	100	euclidean	0.2	4	0.05519595167628118
wingnut	100	euclidean	0.2	4	0.8469230499663394
triangle2	100	euclidean	0.2	4	0.09113857822493167
disk-4000n	100	euclidean	0.2	4	0.16067902251357905
2d-4c	100	euclidean	0.2	4	0.5194143774962864
long1	100	euclidean	0.2	4	0.9569966377839799
sizes4	100	euclidean	0.2	4	0.08913870919419181
square4	100	euclidean	0.2	4	0.12827443024053614
chainlink	100	euclidean	0.2	4	1.0
spiralsquare	100	euclidean	0.2	4	0.5284550285583905
gaussians1	100	euclidean	0.2	4	1.0
pmf	100	euclidean	0.2	4	0.08545316319238488
long2	100	euclidean	0.2	4	0.9454137963492709
2d-4c-no9	100	euclidean	0.2	4	0.4119164246276727
cassini	100	euclidean	0.2	4	1.0
hepta	100	euclidean	0.2	4	0.46700977359402623
triangle1	100	euclidean	0.2	4	0.36009516201061237
tae	100	euclidean	0.2	4	0.04796284802914385
twenty	100	euclidean	0.2	4	0.5213868795277834
threenorm	100	euclidean	0.2	4	0.1907522074827705
square2	100	euclidean	0.2	4	0.12827443024053614
disk-3000n	100	euclidean	0.2	4	0.19698984561832233
d31	100	euclidean	0.2	4	0.4652829401506086
zelnik4	100	euclidean	0.2	4	1.0
2sp2glob	100	euclidean	0.2	4	0.49846203986167087
glass	100	euclidean	0.2	4	0.052554791565546606
square1	100	euclidean	0.2	4	0.12827443024053614
2d-3c-no123	100	euclidean	0.2	4	0.0732106430552066
disk-4500n	100	euclidean	0.2	4	0.2412399992516071
sizes1	100	euclidean	0.2	4	0.11329144816465976
long3	100	euclidean	0.2	4	0.9082237023210628
cuboids	100	euclidean	0.2	4	1.0
st900	100	euclidean	0.2	4	0.6036138454364688
tetra	100	euclidean	0.2	4	0.09964375816202062
spherical_4_3	100	euclidean	0.3	2	0.18257578692966595
fourty	100	euclidean	0.3	2	0.7208099542902724
lsun	100	euclidean	0.3	2	0.9118434434653767
ds850	100	euclidean	0.3	2	0.9722708716236849
pathbased	100	euclidean	0.3	2	0.17570545149792782
R15	100	euclidean	0.3	2	0.9351499331373285
spherical_6_2	100	euclidean	0.3	2	0.47814312770660167
shapes	100	euclidean	0.3	2	1.0
2dnormals	100	euclidean	0.3	2	0.047229969590696814
simplex	100	euclidean	0.3	2	1.0
2d-20c-no0	100	euclidean	0.3	2	0.8154100472084357
disk-5000n	100	euclidean	0.3	2	0.3895800046212244
DS-577	100	euclidean	0.3	2	0.9307804283429518
zoo	100	euclidean	0.3	2	0.4708389621216752
square3	100	euclidean	0.3	2	0.3807648363256267
sonar	100	euclidean	0.3	2	0.13156466002322514
disk-4600n	100	euclidean	0.3	2	0.4207658002603375
sizes5	100	euclidean	0.3	2	0.34193073392402284
cure-t1-2000n-2D	100	euclidean	0.3	2	0.6696013422216626
blobs	100	euclidean	0.3	2	0.04605021013590553
dense-disk-5000	100	euclidean	0.3	2	0.4602885775581882
dense-disk-3000	100	euclidean	0.3	2	0.5170988169469446
2d-10c	100	euclidean	0.3	2	0.6052345232096916
impossible	100	euclidean	0.3	2	0.8629832840693058
aml28	100	euclidean	0.3	2	0.38711709688806833
compound	100	euclidean	0.3	2	0.05360354250638201
sizes3	100	euclidean	0.3	2	0.3676391173659969
spiral	100	euclidean	0.3	2	1.0
sizes2	100	euclidean	0.3	2	0.38027477377305774
iris	100	euclidean	0.3	2	0.4833141505921429
hypercube	100	euclidean	0.3	2	1.0
engytime	100	euclidean	0.3	2	0.024508208009420038
longsquare	100	euclidean	0.3	2	0.46186692656293127
iono	100	euclidean	0.3	2	0.11297873027733907
square5	100	euclidean	0.3	2	0.3565013888914353
3-spiral	100	euclidean	0.3	2	0.20405886502317824
DS-850	100	euclidean	0.3	2	0.9722708716236849
rings	100	euclidean	0.3	2	0.4047123845613153
cure-t2-4k	100	euclidean	0.3	2	0.6400917606579166
2d-4c-no4	100	euclidean	0.3	2	0.5381406943995956
disk-1000n	100	euclidean	0.3	2	0.2592605339662656
complex9	100	euclidean	0.3	2	0.02491299318916792
ecoli	100	euclidean	0.3	2	0.20767244978966815
target	100	euclidean	0.3	2	1.0000000000000002
3MC	100	euclidean	0.3	2	0.5416966412281352
xclara	100	euclidean	0.3	2	0.15987810981622488
cure-t0-2000n-2D	100	euclidean	0.3	2	1.0
spherical_5_2	100	euclidean	0.3	2	0.44316485406485334
ds577	100	euclidean	0.3	2	0.9307804283429518
elliptical_10_2	100	euclidean	0.3	2	0.44303891117967154
triangle2	100	euclidean	0.3	2	0.3345339073433467
disk-4000n	100	euclidean	0.3	2	0.3340602959071158
jain	100	euclidean	0.3	2	0.087085204325113
2d-4c	100	euclidean	0.3	2	0.5947915415602242
long1	100	euclidean	0.3	2	0.9747872551155987
sizes4	100	euclidean	0.3	2	0.3538522006202997
square4	100	euclidean	0.3	2	0.3739413027311515
chainlink	100	euclidean	0.3	2	1.0
